province,n,ecdi_composite,ecdi_literacy,ecdi_physical,ecdi_learning,ecdi_socioemotional,wealth_mean,urban_pct,haz_mean,stim_mean
Bagmati,523,19.311663479923517,42.026266416510325,45.86466165413533,82.33082706766918,9.315589353612168,3.4814340588988477,68.62996158770807,-0.03425096030729834,0.0
Gandaki,296,16.216216216216218,37.908496732026144,45.751633986928105,72.87581699346404,10.702341137123746,2.9472527472527474,54.94505494505495,-0.22402197802197799,0.0
Karnali,309,6.472491909385113,12.232415902140673,39.44954128440367,73.9938080495356,8.626198083067091,1.331275720164609,52.46913580246913,0.38960905349794245,0.0
Koshi,417,11.990407673860911,26.128266033254157,44.418052256532064,76.59574468085107,9.97624703087886,2.563011456628478,49.754500818330605,-0.17464811783960715,0.0
Lumbini,399,12.781954887218044,28.18181818181818,36.72055427251732,68.0365296803653,13.725490196078432,2.7427184466019416,49.83818770226537,-1.0836245954692556,0.0
Madhesh,487,9.650924024640657,16.122448979591837,34.08163265306122,80.61224489795919,8.979591836734693,3.0545977011494254,58.189655172413794,2.355014367816092,0.0
Sudurpashchim,368,9.510869565217392,22.78820375335121,34.67741935483871,70.05347593582889,6.46900269541779,2.062146892655367,52.16572504708098,-1.0368738229755177,0.0
